device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,ta_min,ta_max,ta_mean,ta_std,ta_q1,ta_q3,ws1_min,ws1_max,ws1_mean,ws1_std,ws1_q1,ws1_q3,ws10_min,ws10_max,ws10_mean,ws10_std,ws10_q1,ws10_q3,hm_min,hm_max,hm_mean,hm_std,hm_q1,hm_q3,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M6017,2024-12-11 21:31:54,2024-12-12 19:51:54,22.33,0.00,2.40,7.90,5.35,5.25,43.00,59.00,50.64,6.07,1.10,1.30,1.18,0.09,2.65,6.80,-3.58,13.03,47.00,57.50,31.25,73.25,1.10,1.25,0.88,1.48,0.80,3.00,2.18,0.73,1.60,2.70,0.00,3.80,1.79,1.05,1.75,2.10,0.00,3.70,1.85,1.07,1.70,2.40,-99.20,52.20,15.28,57.26,27.10,48.90,0,0,0,0
VC6M6018,2024-11-30 10:51:27,2024-12-08 23:11:27,204.33,8.00,1.90,12.30,6.66,7.22,55.00,70.00,63.25,2.42,1.10,1.40,1.11,0.03,4.60,8.90,-1.85,15.35,62.00,65.00,57.50,69.50,1.10,1.10,1.10,1.10,0.50,12.60,5.80,2.46,3.90,7.40,0.00,9.10,3.58,1.52,2.40,4.50,1.30,8.10,3.64,1.38,2.60,4.40,15.50,75.70,44.26,11.83,40.00,51.90,0,30,33,0
VC6M6019,2024-12-07 14:28:49,2024-12-10 20:28:49,78.00,3.00,-4.50,9.40,0.77,14.54,35.00,51.00,45.71,3.92,1.00,1.70,1.01,0.05,-2.13,3.38,-10.38,11.63,44.00,48.00,38.00,54.00,1.00,1.00,1.00,1.00,-7.70,5.80,-1.62,3.70,-5.00,1.40,-99.50,4.60,0.14,6.29,0.00,0.80,-99.90,4.20,0.06,6.30,0.00,0.70,-99.20,93.30,61.74,24.13,52.80,79.50,0,15,35,1
VC6M601A,2024-12-03 02:50:35,2024-12-05 00:30:35,45.67,1.00,-0.30,5.30,1.25,1.84,56.00,63.00,61.24,1.70,1.10,1.40,1.12,0.06,0.15,1.88,-2.44,4.46,61.00,62.00,59.50,63.50,1.10,1.10,1.10,1.10,-0.50,5.80,0.79,1.25,-0.10,1.60,-99.50,3.30,0.27,13.37,1.00,2.70,-99.90,3.20,0.25,13.41,1.60,2.70,30.00,79.20,65.63,10.32,61.70,70.70,4,7,7,0
VC6M601C,2024-12-03 11:03:35,2024-12-06 00:53:35,61.83,2.00,2.70,8.70,6.93,2.36,44.00,63.00,56.53,5.34,1.00,1.32,1.03,0.08,6.05,8.15,2.90,11.30,57.00,60.00,52.50,64.50,1.00,1.00,1.00,1.00,0.90,7.70,5.70,2.17,3.70,7.30,0.70,4.40,2.50,1.06,1.70,3.20,0.50,4.60,2.45,0.81,2.10,2.70,-99.20,72.40,41.46,31.97,40.20,55.40,2,11,10,0
VC6M601D,2024-11-28 15:23:36,2024-12-03 13:13:36,117.83,4.00,-2.70,16.70,5.28,17.15,52.00,84.00,60.00,5.20,0.94,1.84,1.03,0.07,2.50,8.10,-5.90,16.50,57.00,62.00,49.50,69.50,1.00,1.09,0.86,1.23,-2.80,15.70,4.40,4.21,2.10,8.10,0.00,8.10,2.37,1.50,1.40,2.80,0.10,6.20,2.28,1.11,1.40,3.00,29.30,95.00,76.83,11.31,69.20,86.60,5,33,7,1
VC6M601F,2024-12-14 09:22:34,2024-12-17 03:52:34,66.50,2.00,-0.50,17.70,3.27,8.07,36.00,62.00,55.40,4.77,0.91,1.77,1.01,0.08,1.50,4.30,-2.70,8.50,53.00,59.00,44.00,68.00,0.99,0.99,0.99,0.99,-3.30,5.70,0.88,2.19,-0.90,2.15,0.00,4.50,1.74,1.06,1.00,2.40,0.10,4.40,1.66,0.95,0.98,2.20,46.10,94.40,72.34,14.09,60.90,84.90,22,11,82,1
VC6M6020,2024-11-28 15:20:29,2024-12-03 13:20:29,118.00,4.00,-1.00,15.30,4.80,7.94,56.00,69.00,63.82,2.56,0.94,1.36,1.02,0.05,3.10,6.15,-1.48,10.73,62.00,66.00,56.00,72.00,1.00,1.02,0.97,1.05,-2.10,15.70,3.95,3.40,1.90,5.30,-99.50,8.10,-7.66,28.37,0.00,1.80,-99.90,5.30,-7.69,28.48,0.00,1.80,29.30,97.90,83.97,13.38,75.70,96.50,31,0,191,0
VC6M6021,2024-11-28 15:18:03,2024-12-03 13:18:03,118.00,4.00,2.80,16.80,8.44,17.11,57.00,83.00,63.41,6.20,0.86,1.70,1.04,0.08,5.10,11.85,-5.03,21.98,59.75,64.00,53.38,70.38,1.02,1.04,0.99,1.08,-2.10,15.70,5.72,5.67,1.20,10.30,0.00,9.50,2.83,2.45,0.70,4.23,0.10,10.80,2.63,2.10,0.90,3.40,29.30,89.70,69.62,12.57,62.43,76.95,0,23,54,1
VC6M6023,2024-12-03 13:47:28,2024-12-04 09:37:28,19.83,0.00,0.30,12.50,4.85,9.56,31.00,57.00,48.92,6.03,1.00,1.31,1.01,0.04,3.63,5.07,1.45,7.25,49.00,52.75,43.38,58.38,1.00,1.00,1.00,1.00,0.20,5.30,2.54,1.37,1.60,3.20,-99.50,4.40,-7.46,28.70,0.00,1.80,-99.90,4.80,-2.18,18.77,0.00,1.80,29.60,90.00,63.20,19.18,50.30,84.50,35,18,2,0
VC6M6026,2024-12-04 09:52:52,2024-12-04 11:02:52,1.17,0.00,4.10,7.50,6.23,2.11,47.00,59.00,51.50,5.54,1.12,1.31,1.22,0.06,5.23,7.23,2.22,10.23,47.25,56.00,34.12,69.12,1.20,1.23,1.17,1.26,2.20,3.30,2.85,0.48,2.45,3.20,0.00,2.90,1.13,1.14,0.53,1.80,0.10,2.10,0.95,0.80,0.53,1.50,35.80,76.90,46.57,16.53,36.73,50.60,0,0,2,0
VC6M6027,2024-11-17 02:26:02,2025-01-14 13:06:02,1402.67,58.00,-9.10,15.50,1.14,13.64,49.00,76.00,56.68,4.29,0.89,1.47,0.99,0.03,-0.80,3.20,-6.80,9.20,54.00,59.00,46.50,66.50,0.99,1.00,0.98,1.02,-15.20,14.40,-0.83,4.86,-4.00,2.60,0.00,9.00,2.04,1.43,1.00,2.70,0.00,7.30,2.04,1.29,1.10,2.60,25.90,93.80,67.42,15.70,55.85,80.30,182,148,646,0
