device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,ta_min,ta_max,ta_mean,ta_std,ta_q1,ta_q3,ws1_min,ws1_max,ws1_mean,ws1_std,ws1_q1,ws1_q3,ws10_min,ws10_max,ws10_mean,ws10_std,ws10_q1,ws10_q3,hm_min,hm_max,hm_mean,hm_std,hm_q1,hm_q3,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M6053,2024-11-15 16:33:18,2024-12-29 13:33:18,1053.00,43.00,-2.10,19.30,6.88,72.02,48.00,71.00,59.11,5.37,0.90,1.20,0.99,0.09,0.40,17.40,-25.10,42.90,54.00,64.00,39.00,79.00,0.92,1.10,0.65,1.37,-6.10,20.90,5.46,9.52,-1.90,16.30,0.00,3.60,1.31,0.92,0.60,1.90,0.00,3.30,1.32,0.77,0.70,2.00,45.30,94.00,67.88,11.91,57.00,78.00,0,0,0,0
VC6M6054,2024-11-21 10:42:27,2025-01-14 13:02:27,1298.33,54.00,-4.70,25.60,18.14,65.58,14.00,80.00,30.79,16.16,0.91,1.77,1.05,0.07,20.20,22.90,16.15,26.95,18.00,43.00,-19.50,80.50,1.00,1.10,0.85,1.25,-15.20,13.80,-0.57,5.63,-4.00,3.00,-99.50,7.40,-7.40,29.63,0.90,2.70,-99.90,7.20,-7.41,29.75,0.90,2.60,25.90,93.80,67.58,15.87,55.00,80.30,631,0,4,1
VC6M6055,2024-11-26 11:08:47,2024-12-03 03:38:47,160.50,6.00,-0.80,14.90,7.11,15.31,57.00,78.00,65.33,3.53,1.10,1.70,1.11,0.04,3.50,10.20,-6.55,20.25,63.00,67.00,57.00,73.00,1.10,1.10,1.10,1.10,-1.60,17.30,6.53,4.81,2.10,10.40,0.10,7.80,2.80,1.42,1.80,3.50,0.30,6.70,2.81,1.25,2.00,3.50,35.50,98.50,69.20,17.09,56.50,84.30,0,30,31,1
VC6M6056,2024-11-26 09:03:08,2025-01-14 09:33:08,1176.50,49.00,-9.70,11.30,0.31,12.32,49.00,76.00,55.96,3.24,0.94,1.63,1.05,0.05,-2.30,2.60,-9.65,9.95,54.00,58.00,48.00,64.00,1.00,1.08,0.88,1.20,-99.90,10.50,-1.89,10.27,-3.50,2.30,-99.90,10.00,1.07,9.68,0.90,2.60,-99.90,8.40,1.11,9.67,1.00,2.60,-99.90,99.90,66.19,21.78,56.20,79.75,15,70,8,1
VC6M6057,2024-12-11 16:39:48,2025-01-14 09:29:48,808.83,33.00,-10.80,9.30,0.45,12.18,37.00,70.00,54.35,5.21,0.90,1.99,1.03,0.05,-1.10,2.60,-6.65,8.15,50.00,58.00,38.00,70.00,1.00,1.05,0.92,1.12,-99.90,10.00,-1.30,5.29,-4.00,2.40,-99.90,7.40,1.85,2.91,1.00,2.50,-99.90,7.20,1.87,2.86,1.10,2.50,-99.20,93.80,66.10,18.25,55.00,79.30,132,1,328,1
VC6M6059,2024-12-06 14:48:14,2024-12-10 15:58:14,97.17,4.00,-1.40,11.80,1.95,4.17,39.00,59.00,55.01,3.00,1.00,1.22,1.01,0.03,0.30,3.20,-4.05,7.55,53.00,57.00,47.00,63.00,1.00,1.00,1.00,1.00,-99.90,6.20,-0.14,7.38,-1.50,2.40,-99.90,4.90,1.67,7.19,1.20,3.05,-99.90,4.50,1.65,7.18,1.20,3.30,-99.20,71.80,52.45,14.68,50.10,60.00,6,6,20,0
VC6M605A,2024-12-13 22:32:44,2025-01-15 18:32:44,788.00,32.00,-13.00,14.00,-1.26,18.11,45.00,93.00,57.77,11.76,0.91,1.56,1.02,0.08,-3.80,1.50,-11.75,9.45,48.75,61.00,30.38,79.38,0.95,1.10,0.72,1.33,-15.20,8.20,-2.47,5.01,-6.30,1.90,0.00,7.40,2.06,1.28,1.20,2.70,0.00,6.60,2.12,1.18,1.30,2.70,-99.20,97.00,63.10,33.59,54.20,81.20,52,139,4,1
VC6M605B,2024-11-29 16:31:48,2025-01-12 07:11:48,1046.67,43.00,-11.00,17.40,0.14,16.02,41.00,69.00,44.75,2.54,0.92,2.88,1.02,0.04,-2.60,2.80,-10.70,10.90,43.00,45.00,40.00,48.00,1.02,1.02,1.02,1.02,-99.90,10.10,-2.43,15.43,-2.85,3.00,-99.90,10.50,-0.19,15.18,0.80,2.90,-99.90,8.70,-0.19,15.17,0.90,2.90,-99.90,98.20,65.02,28.95,57.50,79.10,66,85,540,1
VC6M605D,2024-12-01 01:59:27,2024-12-02 19:09:27,41.17,1.00,1.70,11.40,6.48,10.21,62.00,78.00,68.06,4.24,1.10,1.30,1.10,0.02,3.05,9.75,-7.00,19.80,64.00,71.00,53.50,81.50,1.10,1.10,1.10,1.10,-0.50,15.40,5.58,4.22,3.50,7.15,0.00,5.70,2.32,1.38,1.40,2.80,0.00,6.30,2.30,1.47,1.20,2.50,71.90,97.60,86.75,5.66,83.20,91.50,0,0,6,0
VC6M605E,2024-11-28 15:22:27,2024-12-02 11:52:27,92.50,3.00,-3.20,14.70,6.53,42.29,57.00,81.00,66.54,9.08,1.00,1.50,1.08,0.07,0.35,13.28,-19.04,32.66,58.00,76.00,31.00,103.00,1.00,1.10,0.85,1.25,-2.80,14.40,5.97,5.69,0.40,11.40,0.00,5.60,2.09,1.07,1.10,2.90,0.00,4.30,2.17,1.11,1.30,3.10,54.50,100.00,77.09,9.16,70.90,83.20,0,0,2,0
VC6M6060,2024-12-16 19:46:57,2024-12-21 12:36:57,112.83,4.00,-5.90,7.30,0.17,10.94,42.00,78.00,55.38,6.15,0.90,1.94,0.95,0.07,-2.60,2.70,-10.55,10.65,50.00,58.00,38.00,70.00,0.93,0.98,0.86,1.06,-8.70,3.90,-1.07,3.31,-3.20,1.73,0.00,7.70,1.75,1.13,1.00,2.32,0.00,4.40,1.75,0.91,1.20,2.20,35.80,90.50,66.42,14.58,53.85,79.10,0,11,35,1
VC6M6061,2025-01-02 05:06:33,2025-01-22 22:06:33,497.00,20.00,-10.90,6.60,0.09,11.30,37.00,85.00,59.53,8.79,0.90,1.42,0.92,0.04,-1.90,2.50,-8.50,9.10,53.00,65.00,35.00,83.00,0.91,0.92,0.90,0.94,-15.20,8.60,-1.58,4.72,-4.60,2.10,0.00,7.40,2.04,1.23,1.20,2.70,0.00,6.60,2.02,1.11,1.30,2.60,21.00,93.80,68.31,16.32,55.20,82.20,78,13,161,0
VC6M6062,2024-11-30 21:32:53,2024-12-02 17:42:53,44.17,1.00,1.00,11.10,5.12,8.74,64.00,75.00,69.16,3.15,0.91,1.30,0.93,0.05,2.50,7.25,-4.63,14.38,66.00,72.00,57.00,81.00,0.91,0.91,0.91,0.91,1.50,15.40,6.38,3.71,3.55,8.40,-99.50,5.50,-19.50,40.77,0.00,1.45,-99.90,6.30,-19.59,40.93,0.00,1.05,72.80,97.90,90.89,7.55,83.95,97.45,0,0,35,0
VC6M6063,2024-11-28 20:49:37,2025-01-23 23:59:37,1347.17,56.00,-10.40,62.50,11.93,470.60,41.00,95.00,66.65,15.49,0.90,1.60,0.97,0.07,-0.20,6.50,-10.25,16.55,56.00,72.00,32.00,96.00,0.90,1.02,0.72,1.20,-15.20,10.00,-0.96,4.58,-4.10,2.50,0.00,7.70,1.59,1.26,0.60,2.20,0.00,7.20,1.60,1.16,0.70,2.30,-99.20,98.90,70.04,16.91,57.80,83.60,1100,0,11,1
VC6M6066,2024-12-16 13:47:00,2024-12-25 06:37:00,208.83,8.00,-4.20,7.90,0.87,10.97,55.00,74.00,62.45,4.48,0.90,1.21,0.99,0.06,-1.30,3.30,-8.20,10.20,58.00,65.00,47.50,75.50,0.95,1.02,0.84,1.12,-5.60,5.40,-0.98,3.01,-2.90,2.00,0.00,3.40,1.44,0.87,0.80,1.95,0.10,3.70,1.60,0.83,0.90,2.25,41.60,89.40,74.33,14.15,73.10,83.00,0,0,2,0
VC6M6068,2024-11-21 01:11:12,2024-11-21 08:21:12,7.17,0.00,6.40,8.70,7.44,0.48,69.00,78.00,73.02,1.52,1.00,1.40,1.05,0.11,6.80,8.10,4.85,10.05,72.00,73.00,70.50,74.50,1.00,1.00,1.00,1.00,5.70,8.00,7.06,0.59,6.60,7.40,-99.50,2.20,-3.58,22.01,0.00,2.10,-99.90,2.30,-3.56,22.10,0.10,1.80,-99.20,94.80,83.40,29.32,86.20,88.50,0,7,9,0
VC6M606B,2024-11-30 21:11:15,2024-12-02 12:41:15,39.50,1.00,5.00,11.10,9.60,6.71,64.00,74.00,66.00,4.47,0.90,1.20,1.02,0.11,10.40,11.00,9.50,11.90,64.00,64.00,64.00,64.00,1.00,1.02,0.97,1.05,1.90,11.60,9.66,4.34,11.60,11.60,0.80,2.40,2.08,0.72,2.40,2.40,0.50,2.20,1.86,0.76,2.20,2.20,87.30,89.80,87.80,1.12,87.30,87.30,1,1,2,0
VC6M606C,2024-12-14 10:21:31,2024-12-16 00:01:31,37.67,1.00,1.30,8.60,2.90,2.19,42.00,61.00,54.23,5.03,0.97,1.34,0.98,0.03,1.80,3.80,-1.20,6.80,51.00,58.00,40.50,68.50,0.97,0.97,0.97,0.97,-2.00,4.40,0.85,1.48,-0.20,1.50,0.00,4.20,1.60,1.07,0.80,2.40,0.10,3.40,1.47,0.93,0.80,2.20,48.30,94.40,77.21,13.97,68.40,91.70,7,0,46,0
VC6M606E,2024-11-15 13:13:41,2024-12-27 01:33:41,996.33,41.00,-2.10,22.20,16.12,54.15,52.00,63.00,59.90,2.93,0.91,1.30,1.06,0.08,17.13,20.50,12.06,25.56,60.00,62.00,57.00,65.00,1.10,1.10,1.10,1.10,-3.20,20.90,12.69,7.12,8.40,17.20,0.60,6.20,2.92,1.47,1.70,4.18,0.60,5.90,2.91,1.42,1.60,4.30,36.70,94.00,65.67,14.46,54.75,72.50,59,59,92,0
VC6M6070,2024-12-20 15:09:48,2024-12-24 14:49:48,95.67,3.00,-5.70,7.80,0.08,11.47,48.00,73.00,62.21,6.11,0.91,1.06,0.97,0.02,-3.00,2.20,-10.80,10.00,58.50,66.00,47.25,77.25,0.97,0.97,0.97,0.97,-8.10,6.10,-1.24,3.37,-4.25,1.50,0.00,7.70,1.93,1.20,1.00,2.65,0.00,4.30,1.86,1.07,0.90,2.60,43.90,90.50,72.22,13.72,60.70,84.35,0,0,149,0
VC6M6071,2024-11-15 13:47:01,2024-11-26 11:27:01,261.67,10.00,4.30,26.50,21.37,8.26,26.00,127.00,56.85,16.70,0.92,1.37,1.00,0.03,19.63,23.30,14.11,28.81,45.00,73.00,3.00,115.00,0.99,1.00,0.98,1.02,-4.40,24.10,8.49,6.51,3.20,13.20,0.00,7.60,2.11,1.17,1.20,2.60,0.10,7.10,2.05,1.11,1.20,2.70,22.40,95.90,62.79,19.64,46.60,80.40,12,2,253,0
VC6M6072,2024-12-16 14:24:04,2025-01-06 10:34:04,500.17,20.00,-5.20,8.10,1.94,6.53,54.00,65.00,58.57,2.29,0.93,1.12,0.95,0.03,0.40,3.50,-4.25,8.15,57.00,60.00,52.50,64.50,0.93,0.98,0.86,1.06,-8.10,10.00,0.05,3.67,-2.80,2.80,0.00,7.70,1.84,1.25,0.90,2.40,0.00,7.20,1.84,1.14,1.00,2.40,25.90,93.80,67.91,15.91,57.70,80.90,50,2,17,0
VC6M6073,2024-11-21 10:58:54,2025-01-12 22:38:54,1259.67,52.00,-0.40,25.60,20.88,21.16,13.00,78.00,30.57,17.65,1.00,1.77,1.05,0.06,21.30,23.30,18.30,26.30,18.00,46.00,-24.00,88.00,1.00,1.10,0.85,1.25,-15.20,13.80,-0.88,6.07,-4.70,2.90,0.00,7.40,2.06,1.34,1.20,2.70,0.00,7.20,2.10,1.25,1.20,2.70,25.90,93.80,66.80,16.62,54.20,79.90,278,0,5,1
VC6M6074,2024-12-19 07:50:33,2025-01-12 13:50:33,582.00,24.00,-9.90,7.90,0.79,11.61,45.00,67.00,58.03,4.15,0.99,1.31,1.04,0.04,-0.90,3.00,-6.75,8.85,55.00,61.00,46.00,70.00,1.00,1.05,0.92,1.12,-15.20,10.00,-1.39,4.49,-4.00,2.00,0.00,7.70,1.83,1.27,0.90,2.40,0.00,7.20,1.85,1.15,1.00,2.40,25.90,93.80,67.78,15.28,56.20,80.10,38,6,121,0
VC6M6075,2024-11-19 03:35:30,2025-01-14 13:35:30,1354.00,56.00,-10.80,10.80,0.53,13.46,44.00,87.00,55.20,5.17,0.94,1.75,1.03,0.05,-1.10,2.70,-6.80,8.40,51.00,58.00,40.50,68.50,1.00,1.05,0.92,1.12,-15.20,10.00,-1.17,4.86,-4.10,2.50,-99.50,7.40,1.78,3.96,1.00,2.50,-99.90,7.20,1.83,3.47,1.10,2.50,-99.20,93.80,67.04,16.34,55.90,79.50,152,22,27,1
VC6M6076,2024-11-15 13:26:06,2024-11-17 10:36:06,45.17,1.00,18.30,23.00,21.03,1.33,50.00,58.00,54.01,1.34,1.00,1.21,1.03,0.05,20.00,22.00,17.00,25.00,53.00,55.00,50.00,58.00,1.00,1.10,0.85,1.25,7.50,20.80,14.12,4.04,10.80,16.50,0.70,6.20,3.52,1.45,2.30,5.00,0.60,5.90,3.43,1.40,2.30,4.70,37.90,94.00,70.09,18.69,50.80,88.90,0,0,0,0
VC6M6077,2024-12-27 19:39:18,2025-01-10 21:29:18,337.83,14.00,-10.80,10.50,0.56,15.87,31.00,81.00,56.06,9.80,0.93,1.24,0.98,0.04,-1.80,2.90,-8.85,9.95,51.00,63.00,33.00,81.00,0.95,0.99,0.89,1.05,-15.20,10.00,-1.32,4.98,-4.00,2.20,0.00,7.40,1.94,1.36,1.00,2.50,0.00,7.20,1.96,1.26,1.10,2.50,25.90,93.80,66.83,16.39,55.00,79.50,78,24,74,0
VC6M6087,2024-11-21 09:55:49,2024-11-23 23:45:49,61.83,2.00,4.60,11.70,8.96,4.29,63.00,75.00,67.43,3.09,1.10,1.31,1.11,0.03,6.90,10.90,0.90,16.90,65.00,70.00,57.50,77.50,1.10,1.10,1.10,1.10,0.90,13.10,7.10,4.14,2.20,10.40,-99.50,3.50,0.35,8.57,0.00,1.90,-99.90,3.20,0.31,8.59,0.00,1.80,31.30,87.70,61.41,18.53,44.80,80.30,0,0,9,0
VC6M608D,2024-11-22 20:08:57,2024-11-27 16:48:57,116.67,4.00,2.00,9.50,6.90,7.10,47.00,61.00,53.57,2.62,1.00,1.60,1.13,0.07,4.40,9.20,-2.80,16.40,53.00,54.00,51.50,55.50,1.10,1.10,1.10,1.10,-1.50,5.60,1.70,1.91,-0.10,3.10,0.00,13.80,3.54,2.79,2.10,4.30,0.00,8.80,3.40,2.03,2.20,4.80,-99.20,97.20,74.88,24.46,53.80,94.90,0,58,43,1
VC6M608E,2024-11-21 10:50:57,2025-01-20 09:50:57,1439.00,59.00,-11.00,13.60,0.10,9.27,41.00,82.00,58.34,3.76,0.89,1.95,0.97,0.04,-2.10,2.50,-9.00,9.40,56.00,61.00,48.50,68.50,0.95,0.98,0.90,1.02,-9.40,9.80,-1.34,4.34,-4.80,2.40,0.00,6.60,2.01,1.13,1.30,2.60,0.00,5.70,2.00,1.00,1.40,2.60,23.40,91.40,66.07,15.61,53.10,79.40,6,10,60,1
VC6M6090,2024-11-26 15:31:02,2025-01-14 09:31:02,1170.00,48.00,-9.70,14.40,1.03,13.20,35.00,75.00,56.01,5.37,0.96,1.40,1.08,0.06,-0.85,3.20,-6.93,9.28,53.00,58.00,45.50,65.50,1.03,1.10,0.92,1.20,-15.20,10.00,-0.94,4.60,-3.80,2.40,0.00,13.80,2.13,1.82,1.00,2.60,0.00,11.70,2.12,1.61,1.10,2.60,25.90,97.20,69.23,15.31,58.10,81.70,138,260,45,0
VC6M6091,2024-11-21 09:32:11,2025-01-14 20:42:11,1307.17,54.00,-6.10,11.20,-0.49,12.40,47.00,70.00,51.22,3.01,0.99,1.31,0.99,0.02,-3.40,2.40,-12.10,11.10,49.00,52.00,44.50,56.50,0.99,0.99,0.99,0.99,-8.90,11.10,-1.64,5.00,-6.88,2.90,-99.50,5.20,-0.07,14.28,1.33,2.50,-99.90,5.00,-0.07,14.32,1.40,2.50,43.90,90.60,71.27,12.93,57.60,83.40,1,11,23,0
VC6M6092,2024-11-21 10:22:52,2024-12-31 17:22:52,967.00,40.00,-1.10,24.40,18.33,65.57,35.00,58.00,45.43,3.43,1.00,1.63,1.03,0.07,14.05,23.30,0.18,37.18,45.00,47.00,42.00,50.00,1.00,1.01,0.98,1.02,-1.50,11.10,4.01,3.44,1.40,6.40,0.60,7.20,3.32,1.92,1.60,4.70,0.50,7.20,3.42,1.88,1.80,4.40,32.70,83.60,52.97,11.49,44.00,59.70,13,40,39,1
VC6M6093,2024-11-17 02:13:06,2024-12-21 21:03:06,834.83,34.00,-4.60,15.60,2.35,12.66,41.00,94.00,57.16,7.37,0.88,2.22,1.04,0.07,0.00,3.90,-5.85,9.75,53.00,58.00,45.50,65.50,1.02,1.03,1.00,1.04,-8.70,13.10,0.55,3.83,-2.00,2.80,0.00,11.40,2.36,1.94,1.10,3.00,0.00,8.50,2.33,1.71,1.20,2.90,25.60,94.40,63.52,18.78,48.80,78.20,54,151,417,1
VC6M6094,2024-11-21 14:52:18,2024-11-29 05:12:18,182.33,7.00,8.20,21.10,13.32,8.97,40.00,65.00,57.32,6.28,1.10,1.66,1.12,0.07,11.60,14.90,6.65,19.85,55.00,62.00,44.50,72.50,1.10,1.10,1.10,1.10,3.70,14.90,9.93,2.33,7.90,11.70,0.00,14.80,3.00,1.51,2.10,3.40,0.00,14.70,3.12,1.43,2.40,3.70,-99.20,99.90,52.45,17.64,39.80,60.90,17,22,35,1
VC6M6098,2024-12-14 09:33:59,2024-12-21 19:33:59,178.00,7.00,-4.70,15.30,1.30,9.80,43.00,95.00,57.61,9.84,0.91,3.01,1.01,0.09,-1.10,3.40,-7.85,10.15,50.00,63.00,30.50,82.50,0.95,1.05,0.80,1.20,-8.70,5.70,-0.46,3.08,-2.60,1.80,0.00,7.70,1.82,1.14,1.00,2.40,0.00,4.40,1.77,0.93,1.10,2.30,35.80,94.40,68.31,15.24,54.40,80.20,5,30,8,1
VC6M609B,2024-11-19 20:26:18,2024-11-20 07:56:18,11.50,0.00,3.80,7.80,5.31,1.61,53.00,60.00,56.96,1.85,1.00,1.40,1.04,0.08,4.03,6.10,0.91,9.21,56.00,58.00,53.00,61.00,1.00,1.00,1.00,1.00,0.80,6.10,2.97,1.04,2.00,3.90,-99.50,1.40,-2.43,16.77,0.10,0.50,0.00,1.30,0.42,0.31,0.30,0.40,-99.20,90.30,67.74,20.89,68.50,70.60,0,0,16,0
VC6M609C,2024-11-21 10:57:14,2025-01-13 14:27:14,1275.50,53.00,-6.30,15.60,-1.91,15.27,39.00,73.00,61.38,6.04,0.99,1.12,0.99,0.01,-4.10,-0.30,-9.80,5.40,58.00,64.00,49.00,73.00,0.99,0.99,0.99,0.99,-8.90,12.30,-3.80,4.60,-7.00,-2.10,-99.50,5.20,1.15,6.94,1.10,2.20,-99.90,5.00,1.19,6.96,1.10,2.10,51.10,87.40,74.06,11.91,64.60,84.10,17,17,38,0
VC6M609D,2024-11-19 13:39:18,2024-11-21 17:29:18,51.83,2.00,6.10,15.50,8.88,8.21,40.00,61.00,56.13,5.63,1.10,1.40,1.11,0.05,6.90,9.00,3.75,12.15,56.00,59.00,51.50,63.50,1.10,1.10,1.10,1.10,5.10,13.80,7.56,2.38,5.80,8.40,-99.50,4.80,-0.70,13.60,0.70,1.30,0.00,3.20,1.14,0.60,0.80,1.30,-99.20,94.80,78.58,29.06,79.20,93.80,22,15,14,0
VC6M60A0,2024-12-17 06:43:03,2024-12-21 12:33:03,101.83,4.00,-4.60,7.20,0.71,9.22,44.00,72.00,53.57,6.06,0.94,2.14,1.00,0.06,-1.90,3.30,-9.70,11.10,49.00,57.75,35.88,70.88,0.99,1.00,0.98,1.02,-8.70,3.90,-1.14,3.39,-3.20,1.60,0.00,7.70,1.79,1.16,1.00,2.40,0.00,4.40,1.77,0.94,1.20,2.40,35.80,90.50,65.34,14.78,53.40,79.10,0,1,171,1
VC6M60A2,2024-11-21 14:04:10,2024-11-29 04:44:10,182.67,7.00,7.20,18.80,10.77,8.94,43.00,66.00,57.92,5.34,1.00,1.40,1.04,0.06,8.30,12.13,2.56,17.86,55.00,62.00,44.50,72.50,1.00,1.10,0.85,1.25,4.70,15.70,10.18,2.32,8.48,11.70,0.00,10.10,3.05,1.22,2.40,3.60,0.30,9.90,3.15,1.16,2.60,3.40,41.60,84.50,64.87,9.00,59.55,71.90,5,4,2,0
VC6M60A3,2024-12-02 13:09:47,2024-12-03 12:59:47,23.83,0.00,1.30,15.60,7.44,17.36,56.00,73.00,64.41,2.76,0.91,2.53,1.00,0.15,4.38,11.60,-6.46,22.44,63.00,66.00,58.50,70.50,0.96,0.99,0.91,1.04,-2.10,15.40,4.71,5.70,0.18,8.83,0.00,8.10,2.33,2.20,0.40,3.45,0.10,5.30,2.04,1.43,0.67,3.03,38.00,87.80,68.75,12.42,60.38,76.58,0,4,22,1
VC6M60A4,2024-12-18 18:22:47,2025-01-05 06:12:47,419.83,17.00,-6.30,25.80,18.49,92.48,16.00,60.00,35.90,12.85,1.00,1.51,1.08,0.07,21.40,23.80,17.80,27.40,21.00,47.00,-18.00,86.00,1.00,1.10,0.85,1.25,-99.90,10.00,-0.65,8.86,-3.40,2.90,-99.90,8.20,1.45,8.10,1.10,2.50,-99.90,7.20,1.43,8.08,1.10,2.50,-99.90,89.70,59.96,22.13,44.00,77.20,196,0,3,1
VC6M60A5,2024-12-14 17:06:11,2024-12-28 09:56:11,328.83,13.00,-9.80,8.00,0.88,9.87,38.00,73.00,59.95,6.25,0.95,1.50,1.02,0.03,-1.00,2.90,-6.85,8.75,56.00,64.00,44.00,76.00,1.01,1.02,1.00,1.04,-99.90,6.20,-0.68,6.34,-2.90,2.20,-99.90,7.70,1.50,5.75,0.90,2.40,-99.90,6.30,1.48,5.72,0.90,2.50,-99.90,97.70,67.73,16.94,58.50,79.90,41,30,321,0
VC6M60A6,2024-11-23 01:26:06,2024-11-26 19:26:06,90.00,3.00,0.60,16.40,9.39,16.00,48.00,69.00,57.49,5.29,1.00,1.40,1.01,0.04,6.70,13.10,-2.90,22.70,52.00,61.00,38.50,74.50,1.00,1.00,1.00,1.00,-2.00,15.60,7.73,4.25,4.20,11.23,-99.50,7.10,1.35,7.81,0.50,2.90,-99.90,5.60,1.52,6.44,0.60,2.80,-99.20,93.20,61.54,18.91,49.90,75.80,0,0,10,0
VC6M60A7,2024-11-19 10:43:03,2024-11-22 10:33:03,71.83,2.00,7.60,14.00,11.95,3.32,45.00,61.00,57.72,3.95,1.10,1.50,1.11,0.04,10.70,13.80,6.05,18.45,58.00,60.00,55.00,63.00,1.10,1.10,1.10,1.10,4.70,13.80,10.10,2.40,8.20,12.60,0.00,12.10,5.47,4.36,1.70,10.10,0.20,12.30,5.47,4.36,1.60,10.30,-99.20,88.30,54.92,19.64,47.30,62.80,0,38,15,0
VC6M60A9,2024-11-19 16:24:08,2024-11-21 17:34:08,49.17,2.00,4.80,13.20,8.23,4.67,37.00,56.00,53.45,3.12,1.00,1.40,1.11,0.05,6.53,9.67,1.80,14.40,53.00,55.00,50.00,58.00,1.10,1.10,1.10,1.10,2.40,13.80,6.91,2.53,4.70,8.50,-99.50,3.90,0.98,6.70,0.90,2.00,0.00,3.40,1.36,0.64,0.80,1.80,-99.20,94.80,65.24,27.11,56.20,83.70,0,16,53,0
VC6M60AA,2024-11-19 08:56:38,2024-11-21 19:06:38,58.17,2.00,2.60,12.70,8.61,3.80,49.00,61.00,55.86,2.62,1.00,1.40,1.03,0.06,7.40,9.70,3.95,13.15,54.00,58.00,48.00,64.00,1.00,1.10,0.85,1.25,-4.30,13.80,8.33,2.94,6.40,9.70,0.00,3.90,1.47,0.85,0.90,2.00,0.00,3.30,1.47,0.69,0.90,2.00,-99.20,94.80,69.26,21.38,52.90,87.30,6,0,2,0
VC6M60AB,2024-12-16 08:50:33,2024-12-19 23:20:33,86.50,3.00,-4.60,4.60,1.06,7.22,53.00,75.00,59.35,4.26,1.12,1.51,1.13,0.03,-1.10,3.40,-7.85,10.15,57.00,61.00,51.00,67.00,1.12,1.12,1.12,1.12,-99.90,4.40,-2.66,18.51,-1.90,3.50,-99.90,5.20,-1.86,18.43,0.50,2.10,-99.90,5.30,-1.91,18.42,0.40,2.22,-99.90,94.40,60.86,34.07,52.10,77.60,0,16,55,1
VC6M60AC,2024-12-23 18:34:34,2025-01-06 00:54:34,318.33,13.00,-4.40,8.10,2.11,5.49,52.00,71.00,58.76,3.86,0.86,1.11,0.93,0.03,0.40,3.70,-4.55,8.65,55.00,62.00,44.50,72.50,0.90,0.94,0.84,1.00,-7.10,10.00,0.27,3.71,-2.50,3.10,0.00,7.20,1.81,1.25,0.90,2.30,0.00,7.20,1.83,1.15,1.00,2.40,25.90,93.10,66.23,16.05,55.10,79.40,0,0,76,0
VC6M60AD,2024-12-17 10:51:47,2025-01-23 23:51:47,901.00,37.00,-2.20,25.40,21.41,11.18,12.00,56.00,20.63,4.94,1.00,1.44,1.00,0.02,20.80,23.10,17.35,26.55,17.00,23.00,8.00,32.00,1.00,1.00,1.00,1.00,-15.20,10.00,-0.94,4.44,-3.70,2.40,0.00,7.70,1.92,1.22,1.00,2.60,0.00,7.20,1.92,1.09,1.20,2.50,20.80,93.80,67.16,15.96,55.15,80.10,289,91,736,0
VC6M60AE,2024-12-19 07:36:54,2024-12-23 22:26:54,110.83,4.00,-8.40,7.50,0.45,10.58,46.00,67.00,59.36,5.08,0.99,1.16,1.02,0.02,-2.10,2.50,-9.00,9.40,56.00,64.00,44.00,76.00,1.02,1.02,1.02,1.02,-8.70,6.10,-1.17,3.32,-3.50,1.50,0.00,7.70,1.83,1.15,1.00,2.50,0.00,4.30,1.78,1.01,1.00,2.40,35.80,90.50,69.12,13.76,58.70,81.80,0,0,81,0
VC6M60B0,2024-12-17 06:29:17,2024-12-21 13:19:17,102.83,4.00,-5.50,7.40,0.26,10.98,46.00,78.00,55.46,5.50,0.90,2.98,0.94,0.10,-2.70,3.00,-11.25,11.55,51.00,60.00,37.50,73.50,0.90,0.95,0.83,1.02,-8.70,3.90,-1.18,3.38,-3.20,1.60,0.00,7.70,1.79,1.14,1.00,2.40,0.00,4.40,1.77,0.93,1.20,2.40,35.80,93.40,65.49,14.94,53.40,79.20,0,2,46,1
VC6M60B1,2024-12-17 06:34:26,2024-12-19 07:24:26,48.83,2.00,-5.10,7.40,0.39,10.77,46.00,69.00,53.06,5.48,0.91,1.10,0.98,0.04,-1.90,2.90,-9.10,10.10,49.00,55.75,38.88,65.88,0.94,1.02,0.82,1.14,-8.40,3.80,-2.23,3.47,-4.20,0.50,0.00,4.10,1.84,0.98,1.10,2.50,0.10,3.80,1.82,0.84,1.30,2.50,40.30,82.50,61.08,13.72,48.80,76.10,0,16,0,0
VC6M60B2,2024-12-23 12:28:32,2025-01-05 20:08:32,319.67,13.00,-4.90,8.40,1.11,8.41,41.00,52.00,46.31,2.19,1.00,1.10,1.00,0.00,-1.40,3.10,-8.15,9.85,45.00,48.00,40.50,52.50,1.00,1.00,1.00,1.00,-99.90,10.10,-1.82,19.28,-0.80,4.00,-99.90,5.60,-1.68,19.06,0.90,2.90,-99.90,6.50,-1.70,19.06,0.90,2.70,-99.90,96.00,60.56,34.72,52.90,77.70,0,0,3,0
