device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,item_shock,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M6011,2024-12-03 13:45:35,2024-12-06 00:55:35,59.17,2.00,7.00,11.90,9.16,4.67,31.00,52.00,42.00,9.67,1.10,1.60,1.24,0.21,7.00,10.50,1.75,15.75,35.00,52.00,9.50,77.50,1.10,1.20,0.95,1.35,0,0,0,1,1
VC6M6011,2024-12-03 13:45:35,2024-12-06 00:55:35,59.17,2.00,7.00,11.90,9.16,4.67,31.00,52.00,42.00,9.67,1.10,1.60,1.24,0.21,7.00,10.50,1.75,15.75,35.00,52.00,9.50,77.50,1.10,1.20,0.95,1.35,1,0,0,1,1
VC6M6014,2024-12-05 15:22:18,2024-12-18 08:02:18,304.67,12.00,-0.90,10.10,6.36,7.75,44.00,62.00,49.81,4.31,1.00,1.31,1.09,0.05,4.90,8.40,-0.35,13.65,47.00,52.00,39.50,59.50,1.10,1.11,1.08,1.12,0,6,8,37,0
VC6M6014,2024-12-05 15:22:18,2024-12-18 08:02:18,304.67,12.00,-0.90,10.10,6.36,7.75,44.00,62.00,49.81,4.31,1.00,1.31,1.09,0.05,4.90,8.40,-0.35,13.65,47.00,52.00,39.50,59.50,1.10,1.11,1.08,1.12,0,6,8,37,0
VC6M6015,2024-12-05 19:56:59,2024-12-06 19:36:59,23.67,0.00,0.30,6.70,3.37,4.24,55.00,69.00,62.97,3.49,1.00,1.40,1.03,0.08,1.20,5.53,-5.29,12.01,62.00,65.00,57.50,69.50,1.00,1.02,0.97,1.05,0,0,12,16,0
VC6M6015,2024-12-05 19:56:59,2024-12-06 19:36:59,23.67,0.00,0.30,6.70,3.37,4.24,55.00,69.00,62.97,3.49,1.00,1.40,1.03,0.08,1.20,5.53,-5.29,12.01,62.00,65.00,57.50,69.50,1.00,1.02,0.97,1.05,0,0,12,16,0
VC6M6016,2024-12-05 13:36:55,2024-12-07 19:26:55,53.83,2.00,2.10,11.90,10.45,6.20,39.00,49.00,42.07,2.27,1.00,1.40,1.15,0.12,10.35,11.67,8.36,13.66,41.00,42.75,38.38,45.38,1.10,1.20,0.95,1.35,0,1,1,1,0
VC6M6016,2024-12-05 13:36:55,2024-12-07 19:26:55,53.83,2.00,2.10,11.90,10.45,6.20,39.00,49.00,42.07,2.27,1.00,1.40,1.15,0.12,10.35,11.67,8.36,13.66,41.00,42.75,38.38,45.38,1.10,1.20,0.95,1.35,0,1,1,1,0
VC6M6017,2024-12-11 21:31:54,2024-12-12 19:51:54,22.33,0.00,2.40,7.90,5.35,5.25,43.00,59.00,50.64,6.07,1.10,1.30,1.18,0.09,2.65,6.80,-3.58,13.03,47.00,57.50,31.25,73.25,1.10,1.25,0.88,1.48,0,0,0,0,0
VC6M6017,2024-12-11 21:31:54,2024-12-12 19:51:54,22.33,0.00,2.40,7.90,5.35,5.25,43.00,59.00,50.64,6.07,1.10,1.30,1.18,0.09,2.65,6.80,-3.58,13.03,47.00,57.50,31.25,73.25,1.10,1.25,0.88,1.48,0,0,0,0,0
VC6M6018,2024-11-30 10:51:27,2024-12-08 23:11:27,204.33,8.00,1.90,12.30,6.66,7.22,55.00,70.00,63.25,2.42,1.10,1.40,1.11,0.03,4.60,8.90,-1.85,15.35,62.00,65.00,57.50,69.50,1.10,1.10,1.10,1.10,0,0,30,33,0
VC6M6018,2024-11-30 10:51:27,2024-12-08 23:11:27,204.33,8.00,1.90,12.30,6.66,7.22,55.00,70.00,63.25,2.42,1.10,1.40,1.11,0.03,4.60,8.90,-1.85,15.35,62.00,65.00,57.50,69.50,1.10,1.10,1.10,1.10,0,0,30,33,0
VC6M6019,2024-12-07 14:28:49,2024-12-10 20:28:49,78.00,3.00,-4.50,9.40,0.77,14.54,35.00,51.00,45.71,3.92,1.00,1.70,1.01,0.05,-2.13,3.38,-10.38,11.63,44.00,48.00,38.00,54.00,1.00,1.00,1.00,1.00,1,0,15,35,1
VC6M6019,2024-12-07 14:28:49,2024-12-10 20:28:49,78.00,3.00,-4.50,9.40,0.77,14.54,35.00,51.00,45.71,3.92,1.00,1.70,1.01,0.05,-2.13,3.38,-10.38,11.63,44.00,48.00,38.00,54.00,1.00,1.00,1.00,1.00,0,0,15,35,1
VC6M6019,2024-12-07 14:28:49,2024-12-10 20:28:49,78.00,3.00,-4.50,9.40,0.77,14.54,35.00,51.00,45.71,3.92,1.00,1.70,1.01,0.05,-2.13,3.38,-10.38,11.63,44.00,48.00,38.00,54.00,1.00,1.00,1.00,1.00,1,0,15,35,1
VC6M6019,2024-12-07 14:28:49,2024-12-10 20:28:49,78.00,3.00,-4.50,9.40,0.77,14.54,35.00,51.00,45.71,3.92,1.00,1.70,1.01,0.05,-2.13,3.38,-10.38,11.63,44.00,48.00,38.00,54.00,1.00,1.00,1.00,1.00,0,0,15,35,1
VC6M601A,2024-12-03 02:50:35,2024-12-05 00:30:35,45.67,1.00,-0.30,5.30,1.25,1.84,56.00,63.00,61.24,1.70,1.10,1.40,1.12,0.06,0.15,1.88,-2.44,4.46,61.00,62.00,59.50,63.50,1.10,1.10,1.10,1.10,0,4,7,7,0
