device_datetime,device_serial,transport_uuid,influx_insert_time,temperature,humidity,mkt,lat,lon,lbstime,shock,battery,src,exp,acc,accx,accy,accz,tiltx,tilty,tiltz,motion,ap,dw_inserted_at,dw_updated_at
2024-12-07 06:38:49,VC6M6019,,2024-12-07 06:41:23.144,6.7,41.0,3.0280E-16,,,1733552940000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.2,-87.8,0.0,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 06:41:00,VC6M6019,,2024-12-07 06:41:23.143,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 06:48:00,VC6M6019,,2024-12-07 06:48:36.91,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 06:48:49,VC6M6019,,2024-12-07 06:48:36.91,6.4,41.0,2.9141E-16,,,1733553660000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.5,-87.5,-0.6,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 06:58:49,VC6M6019,,2024-12-07 07:01:26.892,6.0,42.0,2.7685E-16,,,1733554080000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-1.9,-88.0,-0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:01:00,VC6M6019,,2024-12-07 07:01:26.893,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:08:00,VC6M6019,,2024-12-07 07:08:38.82,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:08:49,VC6M6019,,2024-12-07 07:08:38.819,5.9,42.0,2.7332E-16,,,1733554860000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.6,-87.4,-0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:18:49,VC6M6019,,2024-12-07 07:21:24.123,5.4,43.0,2.5629E-16,,,1733555280000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.5,-87.5,-0.3,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:21:00,VC6M6019,,2024-12-07 07:21:24.124,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:28:00,VC6M6019,,2024-12-07 07:28:37.674,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:28:49,VC6M6019,,2024-12-07 07:28:37.675,5.4,43.0,2.5629E-16,,,1733556060000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.2,-87.7,-0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:38:49,VC6M6019,,2024-12-07 07:41:25.523,5.0,43.0,2.4340E-16,,,1733556480000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.1,-87.8,-0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:41:00,VC6M6019,,2024-12-07 07:41:25.524,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:48:00,VC6M6019,,2024-12-07 07:48:35.926,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:48:49,VC6M6019,,2024-12-07 07:48:35.925,4.9,43.0,2.4027E-16,,,1733557260000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.1,-87.8,-0.3,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 07:58:49,VC6M6019,,2024-12-07 08:01:26.918,4.5,44.0,2.2814E-16,,,1733557680000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.4,-87.6,-0.3,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:01:00,VC6M6019,,2024-12-07 08:01:26.922,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:08:00,VC6M6019,,2024-12-07 08:08:57.586,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:08:49,VC6M6019,,2024-12-07 08:08:57.573,4.5,44.0,2.2814E-16,,,1733558460000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.4,-87.6,0.0,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:18:49,VC6M6019,,2024-12-07 08:21:24.617,4.1,44.0,2.1658E-16,,,1733558880000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.6,-87.4,-0.3,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:21:00,VC6M6019,,2024-12-07 08:21:24.618,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:28:00,VC6M6019,,2024-12-07 08:28:37.138,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:28:49,VC6M6019,,2024-12-07 08:28:37.139,4.0,44.0,2.1378E-16,,,1733559660000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.5,-87.5,0.0,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:38:49,VC6M6019,,2024-12-07 08:41:25.997,3.6,45.0,2.0292E-16,,,1733560080000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.6,-87.4,-0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:41:00,VC6M6019,,2024-12-07 08:41:25.999,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:48:00,VC6M6019,,2024-12-07 08:48:39.254,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:48:49,VC6M6019,,2024-12-07 08:48:39.003,3.6,45.0,2.0292E-16,,,1733560860000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.4,-87.6,0.0,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 08:58:49,VC6M6019,,2024-12-07 09:01:28.21,3.1,45.0,1.9007E-16,,,1733561280000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.5,-87.5,-0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:01:00,VC6M6019,,2024-12-07 09:01:28.211,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:08:00,VC6M6019,,2024-12-07 09:08:37.065,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:08:49,VC6M6019,,2024-12-07 09:08:37.064,3.1,45.0,1.9007E-16,,,1733562060000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.6,-87.4,-0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:18:49,VC6M6019,,2024-12-07 09:21:25.083,2.7,46.0,1.8035E-16,,,1733562480000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.5,-87.5,-0.2,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:21:00,VC6M6019,,2024-12-07 09:21:25.085,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:28:00,VC6M6019,,2024-12-07 09:28:37.437,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:28:49,VC6M6019,,2024-12-07 09:28:37.437,2.6,46.0,1.7800E-16,,,1733563260000,0.0,,,0.0,1.0,0.0,-1.0,0.0,-2.6,-87.4,-0.3,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:38:49,VC6M6019,,2024-12-07 09:41:32.162,2.3,47.0,1.7110E-16,,,1733563680000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.1,-86.9,0.3,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:41:00,VC6M6019,,2024-12-07 09:41:32.559,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:48:00,VC6M6019,,2024-12-07 09:48:38.485,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:48:49,VC6M6019,,2024-12-07 09:48:38.483,2.3,46.0,1.7110E-16,,,1733564460000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-2.8,-87.1,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 09:58:49,VC6M6019,,2024-12-07 10:01:25.469,2.0,47.0,1.6446E-16,,,1733564880000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.0,-86.9,0.3,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:01:00,VC6M6019,,2024-12-07 10:01:25.471,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:08:00,VC6M6019,,2024-12-07 10:08:37.293,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:08:49,VC6M6019,,2024-12-07 10:08:37.294,2.0,47.0,1.6446E-16,,,1733565660000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.0,-87.0,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:18:49,VC6M6019,,2024-12-07 10:21:26.189,1.7,47.0,1.5807E-16,,,1733566080000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.1,-86.9,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:21:00,VC6M6019,,2024-12-07 10:21:26.188,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:28:00,VC6M6019,,2024-12-07 10:28:39.111,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:28:49,VC6M6019,,2024-12-07 10:28:39.111,1.8,47.0,1.6017E-16,,,1733566860000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.7,-86.2,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:38:49,VC6M6019,,2024-12-07 10:41:26.938,1.5,47.0,1.5393E-16,,,1733567280000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.3,-86.7,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:41:00,VC6M6019,,2024-12-07 10:41:26.939,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:48:00,VC6M6019,,2024-12-07 10:48:39.379,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:48:49,VC6M6019,,2024-12-07 10:48:39.378,1.6,47.0,1.5599E-16,,,1733568060000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.3,-86.7,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 10:58:49,VC6M6019,,2024-12-07 11:01:27.768,1.4,47.0,1.5191E-16,,,1733568480000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.5,-86.5,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:01:00,VC6M6019,,2024-12-07 11:01:27.769,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:08:00,VC6M6019,,2024-12-07 11:08:37.118,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:08:49,VC6M6019,,2024-12-07 11:08:37.117,1.5,47.0,1.5393E-16,,,1733569260000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.0,-86.9,0.3,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:18:49,VC6M6019,,2024-12-07 11:21:30.508,1.2,47.0,1.4793E-16,,,1733569680000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.7,-86.2,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:21:00,VC6M6019,,2024-12-07 11:21:30.507,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:28:00,VC6M6019,,2024-12-07 11:29:40.065,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:28:49,VC6M6019,,2024-12-07 11:29:40.016,1.3,47.0,1.4990E-16,,,1733570460000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.8,-86.1,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:38:49,VC6M6019,,2024-12-07 11:41:27.175,1.0,47.0,1.4404E-16,,,1733570880000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.1,-86.9,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:41:00,VC6M6019,,2024-12-07 11:41:27.177,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
