device_datetime,device_datetime_kor,device_serial,lat,lon,battery,temperature,humidity,shock,acc,tiltx,tilty,tiltz,measure_date_kst,aws_station_id,aws_station_name,aws_lat,aws_lon,ws1,ws10,ta,hm
2024-12-07 07:38:49,2024-12-07 16:38:49,VC6M6019,37.288166,126.828954,100.0,5.0,43.0,0.0,1.0,-2.1,-87.8,-0.4,2024-12-07 16:00:00,545,안산,37.28103,126.83848,1.3,1.1,2.7,53.0
2024-12-07 07:41:00,2024-12-07 16:41:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 16:00:00,545,안산,37.28103,126.83848,1.3,1.1,2.7,53.0
2024-12-07 07:48:00,2024-12-07 16:48:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 16:00:00,545,안산,37.28103,126.83848,1.3,1.1,2.7,53.0
2024-12-07 07:48:49,2024-12-07 16:48:49,VC6M6019,37.288166,126.828954,100.0,4.9,43.0,0.0,1.0,-2.1,-87.8,-0.3,2024-12-07 16:00:00,545,안산,37.28103,126.83848,1.3,1.1,2.7,53.0
2024-12-07 07:58:49,2024-12-07 16:58:49,VC6M6019,37.288166,126.828954,100.0,4.5,44.0,0.0,1.0,-2.4,-87.6,-0.3,2024-12-07 16:00:00,545,안산,37.28103,126.83848,1.3,1.1,2.7,53.0
2024-12-07 08:01:00,2024-12-07 17:01:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:08:00,2024-12-07 17:08:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:08:49,2024-12-07 17:08:49,VC6M6019,37.288166,126.828954,100.0,4.5,44.0,0.0,1.0,-2.4,-87.6,0.0,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:18:49,2024-12-07 17:18:49,VC6M6019,37.288166,126.828954,100.0,4.1,44.0,0.0,1.0,-2.6,-87.4,-0.3,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:21:00,2024-12-07 17:21:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:28:00,2024-12-07 17:28:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:28:49,2024-12-07 17:28:49,VC6M6019,37.288166,126.828954,100.0,4.0,44.0,0.0,1.0,-2.5,-87.5,0.0,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:38:49,2024-12-07 17:38:49,VC6M6019,37.288166,126.828954,100.0,3.6,45.0,0.0,1.0,-2.6,-87.4,-0.5,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:41:00,2024-12-07 17:41:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:48:00,2024-12-07 17:48:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:48:49,2024-12-07 17:48:49,VC6M6019,37.288166,126.828954,100.0,3.6,45.0,0.0,1.0,-2.4,-87.6,0.0,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 08:58:49,2024-12-07 17:58:49,VC6M6019,37.288166,126.828954,100.0,3.1,45.0,0.0,1.0,-2.5,-87.5,-0.4,2024-12-07 17:00:00,545,안산,37.28103,126.83848,0.8,0.6,2.2,56.0
2024-12-07 09:01:00,2024-12-07 18:01:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:08:00,2024-12-07 18:08:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:08:49,2024-12-07 18:08:49,VC6M6019,37.288166,126.828954,100.0,3.1,45.0,0.0,1.0,-2.6,-87.4,-0.5,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:18:49,2024-12-07 18:18:49,VC6M6019,37.288166,126.828954,100.0,2.7,46.0,0.0,1.0,-2.5,-87.5,-0.2,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:21:00,2024-12-07 18:21:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:28:00,2024-12-07 18:28:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
